community_code,week_start,rpt_comm_pace_status,black_homesites,red_homesites,yellow_homesites,green_homesites,dirt_homesites
00002,2025-05-05,On Pace,6,2,0,7,26
00002,2025-05-12,On Pace,0,1,0,7,5
00002,2025-05-19,Very Ahead of Pace,6,9,2,10,8
00002,2025-05-26,Very Behind Pace,1,0,0,9,27
00002,2025-06-02,On Pace,0,0,0,13,3
00002,2025-06-09,Ahead of Pace,6,6,3,7,26
00002,2025-06-16,Ahead of Pace,0,3,3,6,9
00002,2025-06-23,Behind Pace,0,3,0,13,8
00002,2025-06-30,Behind Pace,11,1,0,17,18
00002,2025-07-07,On Pace,10,5,3,9,30
00002,2025-07-14,Ahead of Pace,7,5,1,10,7
00002,2025-07-21,Behind Pace,7,4,2,8,17
00002,2025-07-28,On Pace,0,2,1,5,19
00002,2025-08-04,Very Ahead of Pace,8,3,0,17,8
00003,2024-08-05,Behind Pace,2,2,1,1,23
00003,2024-08-12,Behind Pace,11,6,3,7,5
00003,2024-08-19,Ahead of Pace,11,0,2,10,9
00003,2024-08-26,On Pace,6,0,3,10,18
00003,2024-09-02,Behind Pace,11,0,3,16,9
00003,2024-09-09,On Pace,2,0,2,5,15
00003,2024-09-16,Ahead of Pace,4,1,0,11,10
00003,2024-09-23,Very Behind Pace,1,5,0,13,3
00003,2024-09-30,Ahead of Pace,9,3,0,12,20
00003,2024-10-07,Ahead of Pace,9,1,3,16,12
00003,2024-10-14,On Pace,3,0,1,21,15
00003,2024-10-21,Behind Pace,1,3,1,13,5
00003,2024-10-28,Very Ahead of Pace,6,1,0,12,13
00003,2024-11-04,Ahead of Pace,3,1,2,4,13
00003,2024-11-11,Very Ahead of Pace,9,7,0,9,8
00003,2024-11-18,Behind Pace,0,0,2,0,19
00003,2024-11-25,Ahead of Pace,7,1,0,13,0
00003,2024-12-02,Behind Pace,4,1,0,2,6
00003,2024-12-09,On Pace,0,2,4,13,22
00003,2024-12-16,Ahead of Pace,15,0,4,9,17
00003,2024-12-23,Ahead of Pace,6,5,3,16,15
00003,2024-12-30,On Pace,1,6,0,6,10
00003,2025-01-06,Very Ahead of Pace,0,0,4,15,11
00003,2025-01-13,Behind Pace,0,2,3,11,4
00003,2025-01-20,Behind Pace,5,5,0,9,12
00003,2025-01-27,Ahead of Pace,6,0,1,11,7
00003,2025-02-03,Ahead of Pace,9,1,1,16,8
00003,2025-02-10,Behind Pace,6,0,1,8,15
00003,2025-02-17,Very Ahead of Pace,0,4,4,9,8
00003,2025-02-24,On Pace,4,7,0,5,9
00003,2025-03-03,Very Behind Pace,7,0,2,5,18
00003,2025-03-10,On Pace,4,9,1,8,15
00003,2025-03-17,Behind Pace,6,1,4,7,7
00003,2025-03-24,Ahead of Pace,3,4,0,14,19
00003,2025-03-31,On Pace,4,0,5,13,14
00003,2025-04-07,Very Behind Pace,14,2,1,11,21
00003,2025-04-14,Very Behind Pace,7,0,4,12,2
00003,2025-04-21,Behind Pace,15,0,0,11,12
00003,2025-04-28,Behind Pace,7,0,0,3,8
00003,2025-05-05,On Pace,4,0,3,14,4
00003,2025-05-12,On Pace,4,4,1,14,18
00003,2025-05-19,Behind Pace,6,7,2,19,3
00003,2025-05-26,Ahead of Pace,12,5,4,17,18
00003,2025-06-02,Ahead of Pace,1,1,3,15,19
00003,2025-06-09,Very Ahead of Pace,10,2,1,2,15
00003,2025-06-16,On Pace,6,4,0,4,11
00003,2025-06-23,Behind Pace,2,0,1,3,17
00003,2025-06-30,Very Ahead of Pace,0,1,4,0,17
00003,2025-07-07,On Pace,7,1,0,12,20
00003,2025-07-14,Behind Pace,2,2,4,4,8
00003,2025-07-21,Ahead of Pace,5,3,1,12,13
00003,2025-07-28,On Pace,6,0,3,13,6
00003,2025-08-04,Very Behind Pace,2,0,4,10,5
00004,2024-08-05,Behind Pace,0,2,1,7,0
00004,2024-08-12,Ahead of Pace,3,0,0,7,20
00004,2024-08-19,On Pace,8,4,0,9,9
00004,2024-08-26,Very Ahead of Pace,4,3,0,13,17
00004,2024-09-02,On Pace,11,0,0,7,7
00004,2024-09-09,Very Behind Pace,4,4,2,16,8
00004,2024-09-16,On Pace,10,1,4,18,16
00004,2024-09-23,Ahead of Pace,7,6,0,7,10
00004,2024-09-30,On Pace,9,0,1,8,19
00004,2024-10-07,Very Behind Pace,6,7,1,10,10
00004,2024-10-14,On Pace,4,7,2,4,20
00004,2024-10-21,Behind Pace,4,0,2,5,11
00004,2024-10-28,Behind Pace,3,1,3,5,21
00004,2024-11-04,Ahead of Pace,6,2,3,12,22
00004,2024-11-11,Very Behind Pace,3,0,0,11,19
00004,2024-11-18,Ahead of Pace,6,0,3,7,16
00004,2024-11-25,Very Ahead of Pace,10,4,3,9,12
00004,2024-12-02,Ahead of Pace,4,2,0,11,5
00004,2024-12-09,Behind Pace,9,0,2,13,20
00004,2024-12-16,On Pace,2,1,4,1,1
00004,2024-12-23,Very Ahead of Pace,9,6,4,15,20
00004,2024-12-30,Behind Pace,3,1,0,1,21
00004,2025-01-06,Ahead of Pace,1,2,1,12,28
00004,2025-01-13,On Pace,2,6,0,11,15
00004,2025-01-20,Behind Pace,4,0,0,10,27
00004,2025-01-27,On Pace,0,4,3,0,9
00004,2025-02-03,Very Ahead of Pace,4,4,3,6,23
00004,2025-02-10,Behind Pace,6,6,1,9,16
00004,2025-02-17,Behind Pace,1,1,0,19,5
00004,2025-02-24,On Pace,2,5,7,10,12
00004,2025-03-03,On Pace,5,5,2,4,14
00004,2025-03-10,Behind Pace,11,0,0,12,13
00004,2025-03-17,On Pace,0,0,3,9,18
00004,2025-03-24,Ahead of Pace,6,3,2,10,5
00004,2025-03-31,Ahead of Pace,0,0,0,9,9
00004,2025-04-07,Ahead of Pace,9,7,0,9,15
00004,2025-04-14,Ahead of Pace,3,5,3,12,10
00004,2025-04-21,Behind Pace,4,4,3,13,2
00004,2025-04-28,Ahead of Pace,9,7,0,9,2
00004,2025-05-05,Ahead of Pace,3,7,4,13,16
00004,2025-05-12,Behind Pace,0,4,5,14,25
00004,2025-05-19,On Pace,6,3,4,8,20
00004,2025-05-26,On Pace,3,0,1,13,21
00004,2025-06-02,Behind Pace,3,6,3,12,11
00004,2025-06-09,Very Behind Pace,2,5,0,6,13
00004,2025-06-16,Ahead of Pace,6,11,3,7,18
00004,2025-06-23,Very Ahead of Pace,5,0,5,6,10
00004,2025-06-30,On Pace,2,1,0,10,6
00004,2025-07-07,Behind Pace,13,4,3,7,0
00004,2025-07-14,Very Ahead of Pace,0,3,3,13,16
00004,2025-07-21,On Pace,5,1,0,11,26
00004,2025-07-28,Behind Pace,1,0,2,5,6
00004,2025-08-04,Ahead of Pace,10,1,1,6,18
00005,2024-08-05,Very Ahead of Pace,4,0,3,13,10
00005,2024-08-12,Very Ahead of Pace,4,2,5,11,14
00005,2024-08-19,Ahead of Pace,6,1,2,6,16
00005,2024-08-26,Very Ahead of Pace,10,2,4,14,2
00005,2024-09-02,On Pace,4,0,3,0,11
00005,2024-09-09,On Pace,3,5,0,5,8
00005,2024-09-16,Ahead of Pace,8,0,2,10,10
00005,2024-09-23,Behind Pace,5,0,0,7,9
00005,2024-09-30,Very Ahead of Pace,0,5,3,19,7
00005,2024-10-07,Ahead of Pace,4,3,2,14,2
00005,2024-10-14,Ahead of Pace,0,0,0,8,15
00005,2024-10-21,Ahead of Pace,1,3,0,12,21
00005,2024-10-28,On Pace,8,0,4,5,16
00005,2024-11-04,Very Ahead of Pace,2,3,0,14,25
00005,2024-11-11,Behind Pace,0,3,0,5,15
00005,2024-11-18,Behind Pace,6,0,4,17,27
00005,2024-11-25,Behind Pace,5,4,3,4,14
00005,2024-12-02,Ahead of Pace,5,3,2,14,24
00005,2024-12-09,Very Ahead of Pace,3,0,3,0,1
00005,2024-12-16,On Pace,0,1,1,13,13
00005,2024-12-23,Very Ahead of Pace,8,1,2,13,6
00005,2024-12-30,Very Behind Pace,5,6,0,14,11
00005,2025-01-06,Ahead of Pace,7,7,2,0,12
00005,2025-01-13,Very Ahead of Pace,8,1,2,6,15
00005,2025-01-20,Ahead of Pace,1,6,0,15,19
00005,2025-01-27,Behind Pace,6,0,2,3,26
00005,2025-02-03,On Pace,11,2,0,10,15
00005,2025-02-10,On Pace,10,0,2,19,13
00005,2025-02-17,Ahead of Pace,5,3,0,6,23
00005,2025-02-24,On Pace,2,2,1,0,16
00005,2025-03-03,On Pace,5,4,0,3,14
00005,2025-03-10,Behind Pace,0,6,2,1,8
00005,2025-03-17,Very Ahead of Pace,4,0,0,12,6
00005,2025-03-24,On Pace,6,1,0,0,13
00005,2025-03-31,Behind Pace,4,4,0,6,0
00005,2025-04-07,On Pace,10,0,0,2,17
00005,2025-04-14,Ahead of Pace,2,0,1,15,8
00005,2025-04-21,On Pace,3,0,0,20,20
00005,2025-04-28,On Pace,12,4,3,9,3
00005,2025-05-05,Ahead of Pace,10,0,2,14,23
00005,2025-05-12,Very Ahead of Pace,0,0,2,12,15
00005,2025-05-19,On Pace,10,0,3,15,16
00005,2025-05-26,On Pace,4,4,3,9,21
00005,2025-06-02,Ahead of Pace,4,0,2,18,6
00005,2025-06-09,Behind Pace,4,6,1,6,14
00005,2025-06-16,Ahead of Pace,8,4,5,1,15
00005,2025-06-23,On Pace,3,3,3,6,8
00005,2025-06-30,Very Behind Pace,4,1,4,2,12
00005,2025-07-07,Very Ahead of Pace,4,3,3,15,21
00005,2025-07-14,Ahead of Pace,0,0,1,10,13
00005,2025-07-21,Behind Pace,6,0,0,10,11
00005,2025-07-28,Behind Pace,5,2,3,8,13
00005,2025-08-04,Ahead of Pace,8,3,3,11,7
00006,2024-08-05,On Pace,2,4,4,14,7
00006,2024-08-12,On Pace,1,6,0,13,10
00006,2024-08-19,Behind Pace,13,0,5,0,13
00006,2024-08-26,Ahead of Pace,7,0,2,6,24
00006,2024-09-02,On Pace,2,0,4,13,11
00006,2024-09-09,On Pace,2,2,2,17,20
00006,2024-09-16,On Pace,3,6,5,15,24
00006,2024-09-23,Ahead of Pace,1,0,1,21,9
00006,2024-09-30,Very Ahead of Pace,4,5,2,8,21
00006,2024-10-07,Ahead of Pace,0,8,0,12,26
00006,2024-10-14,On Pace,4,0,0,2,13
00006,2024-10-21,Behind Pace,10,4,1,11,25
00006,2024-10-28,Very Behind Pace,4,8,2,8,12
00006,2024-11-04,Ahead of Pace,8,6,0,13,30
00006,2024-11-11,Behind Pace,1,0,3,9,12
00006,2024-11-18,On Pace,11,4,2,19,17
00006,2024-11-25,Very Behind Pace,2,2,1,10,11
00006,2024-12-02,On Pace,3,9,0,5,18
00006,2024-12-09,Very Behind Pace,5,7,5,13,4
00006,2024-12-16,Behind Pace,10,5,0,8,6
00006,2024-12-23,Ahead of Pace,0,4,3,6,13
00006,2024-12-30,Behind Pace,7,2,0,6,11
00006,2025-01-06,Behind Pace,8,2,1,6,6
00006,2025-01-13,Ahead of Pace,5,3,1,8,15
00006,2025-01-20,On Pace,1,7,3,15,9
00006,2025-01-27,On Pace,4,0,1,4,15
00006,2025-02-03,Ahead of Pace,3,9,1,8,19
00006,2025-02-10,Very Ahead of Pace,14,1,2,9,15
00006,2025-02-17,Ahead of Pace,3,0,3,16,9
00006,2025-02-24,Ahead of Pace,8,6,0,9,15
00006,2025-03-03,On Pace,1,3,0,6,23
00006,2025-03-10,Very Behind Pace,7,1,3,20,16
00006,2025-03-17,Very Ahead of Pace,3,3,0,13,15
00006,2025-03-24,Very Behind Pace,0,2,0,15,32
00006,2025-03-31,Ahead of Pace,10,6,2,5,23
00006,2025-04-07,Very Behind Pace,8,1,1,10,15
00006,2025-04-14,On Pace,6,9,0,5,9
00006,2025-04-21,Very Ahead of Pace,5,7,3,7,22
00006,2025-04-28,Behind Pace,3,2,3,10,19
00006,2025-05-05,Ahead of Pace,4,0,0,5,4
00006,2025-05-12,On Pace,4,7,3,11,13
00006,2025-05-19,Very Ahead of Pace,6,5,0,15,29
00006,2025-05-26,On Pace,6,3,3,15,12
00006,2025-06-02,Ahead of Pace,8,4,2,12,12
00006,2025-06-09,Ahead of Pace,0,2,0,11,19
00006,2025-06-16,Very Ahead of Pace,11,6,2,7,21
00006,2025-06-23,Behind Pace,0,3,1,12,17
00006,2025-06-30,On Pace,6,4,0,8,12
00006,2025-07-07,On Pace,4,6,4,15,11
00006,2025-07-14,On Pace,5,3,1,3,7
00006,2025-07-21,Behind Pace,6,1,0,12,15
00006,2025-07-28,Behind Pace,1,2,2,12,19
00006,2025-08-04,Ahead of Pace,4,2,1,6,23
00007,2024-08-05,On Pace,4,7,2,9,19
00007,2024-08-12,On Pace,4,3,3,9,13
00007,2024-08-19,On Pace,10,4,4,9,15
00007,2024-08-26,Ahead of Pace,0,2,0,13,13
00007,2024-09-02,Ahead of Pace,3,5,5,8,3
00007,2024-09-09,Behind Pace,5,5,0,14,12
00007,2024-09-16,Behind Pace,8,6,6,7,19
00007,2024-09-23,Very Ahead of Pace,11,3,1,14,21
00007,2024-09-30,Ahead of Pace,3,3,1,7,17
00007,2024-10-07,On Pace,0,3,0,8,16
00007,2024-10-14,On Pace,7,0,3,7,8
00007,2024-10-21,Behind Pace,5,5,0,4,10
00007,2024-10-28,On Pace,2,9,3,8,15
00007,2024-11-04,On Pace,0,8,0,10,19
00007,2024-11-11,On Pace,3,5,1,13,17
00007,2024-11-18,On Pace,11,0,0,9,4
00007,2024-11-25,Ahead of Pace,2,0,2,12,10
00007,2024-12-02,Very Ahead of Pace,10,0,3,18,1
00007,2024-12-09,Very Ahead of Pace,11,0,5,1,9
00007,2024-12-16,Ahead of Pace,11,2,1,3,19
00007,2024-12-23,Ahead of Pace,6,3,1,17,28
00007,2024-12-30,On Pace,1,3,0,20,13
00007,2025-01-06,Behind Pace,4,6,1,14,19
00007,2025-01-13,Very Behind Pace,0,4,4,12,25
00007,2025-01-20,Very Behind Pace,9,5,4,8,5
00007,2025-01-27,Very Ahead of Pace,2,3,0,7,15
00007,2025-02-03,Behind Pace,10,0,0,8,19
00007,2025-02-10,Ahead of Pace,1,3,2,17,9
00007,2025-02-17,On Pace,1,2,3,14,21
00007,2025-02-24,Very Behind Pace,2,0,3,11,17
00007,2025-03-03,On Pace,0,1,1,14,0
00007,2025-03-10,On Pace,9,0,3,15,15
00007,2025-03-17,On Pace,5,6,7,2,11
00007,2025-03-24,Very Behind Pace,4,0,1,11,6
00007,2025-03-31,Behind Pace,4,1,1,4,19
00007,2025-04-07,Behind Pace,0,4,0,9,19
00007,2025-04-14,Behind Pace,4,2,1,2,11
00007,2025-04-21,On Pace,9,0,4,12,21
00007,2025-04-28,On Pace,5,1,3,13,13
00007,2025-05-05,Ahead of Pace,11,4,4,5,22
00007,2025-05-12,Very Behind Pace,3,0,0,8,17
00007,2025-05-19,Very Behind Pace,4,0,1,2,17
00007,2025-05-26,Ahead of Pace,8,2,0,9,16
00007,2025-06-02,Ahead of Pace,0,6,1,5,10
00007,2025-06-09,Behind Pace,11,4,1,7,24
00007,2025-06-16,Behind Pace,3,8,1,13,18
00007,2025-06-23,Ahead of Pace,0,0,3,4,10
00007,2025-06-30,Behind Pace,10,8,4,9,13
00007,2025-07-07,Very Behind Pace,0,0,2,4,22
00007,2025-07-14,On Pace,4,5,3,6,23
00007,2025-07-21,Behind Pace,0,5,3,8,22
00007,2025-07-28,On Pace,0,0,2,8,15
00007,2025-08-04,Ahead of Pace,1,4,3,10,18
00008,2024-08-05,Ahead of Pace,7,4,3,8,17
00008,2024-08-12,Very Behind Pace,8,0,0,7,9
00008,2024-08-19,On Pace,4,0,0,8,19
00008,2024-08-26,On Pace,8,0,2,11,11
00008,2024-09-02,Behind Pace,11,0,1,13,9
00008,2024-09-09,Very Behind Pace,7,3,1,9,23
00008,2024-09-16,Behind Pace,2,4,1,7,12
00008,2024-09-23,Very Ahead of Pace,2,6,1,5,1
00008,2024-09-30,On Pace,4,5,5,14,14
00008,2024-10-07,Behind Pace,8,5,6,9,25
00008,2024-10-14,Ahead of Pace,8,2,0,5,0
00008,2024-10-21,Ahead of Pace,5,0,2,9,15
00008,2024-10-28,On Pace,0,5,0,6,20
00008,2024-11-04,Behind Pace,6,8,0,8,7
00008,2024-11-11,Very Behind Pace,9,4,1,8,17
00008,2024-11-18,Ahead of Pace,3,3,0,17,11
00008,2024-11-25,On Pace,6,3,3,19,12
00008,2024-12-02,On Pace,2,1,1,9,17
00008,2024-12-09,On Pace,6,1,3,10,11
00008,2024-12-16,Ahead of Pace,7,1,2,10,9
00008,2024-12-23,On Pace,8,9,0,9,22
00008,2024-12-30,Behind Pace,0,2,1,19,21
00008,2025-01-06,On Pace,3,5,0,7,19
00008,2025-01-13,Ahead of Pace,8,0,4,16,5
00008,2025-01-20,On Pace,11,1,4,9,22
00008,2025-01-27,Ahead of Pace,7,1,2,4,18
00008,2025-02-03,Ahead of Pace,3,2,0,12,29
00008,2025-02-10,Very Behind Pace,6,5,3,0,11
00008,2025-02-17,On Pace,8,0,3,15,6
00008,2025-02-24,Ahead of Pace,3,3,0,16,5
00008,2025-03-03,On Pace,5,4,2,5,11
00008,2025-03-10,Behind Pace,4,1,0,9,11
00008,2025-03-17,On Pace,5,1,1,8,18
00008,2025-03-24,Ahead of Pace,1,1,3,9,11
00008,2025-03-31,Very Behind Pace,8,0,2,12,5
00008,2025-04-07,Very Behind Pace,4,3,4,6,21
00008,2025-04-14,On Pace,6,11,0,7,7
00008,2025-04-21,Very Ahead of Pace,3,5,1,4,25
00008,2025-04-28,Behind Pace,5,5,0,10,23
00008,2025-05-05,Very Ahead of Pace,1,1,2,15,9
00008,2025-05-12,Very Ahead of Pace,5,5,3,13,14
00008,2025-05-19,On Pace,2,2,0,5,13
00008,2025-05-26,Ahead of Pace,0,2,2,8,3
00008,2025-06-02,Ahead of Pace,6,5,1,11,26
00008,2025-06-09,Very Ahead of Pace,0,5,0,9,8
00008,2025-06-16,On Pace,6,0,0,10,4
00008,2025-06-23,Very Behind Pace,2,4,1,3,15
00008,2025-06-30,Very Behind Pace,1,5,5,8,15
00008,2025-07-07,On Pace,0,4,1,12,3
00008,2025-07-14,Ahead of Pace,5,5,1,11,23
00008,2025-07-21,Very Ahead of Pace,0,3,3,7,8
00008,2025-07-28,Very Ahead of Pace,9,5,1,6,15
00008,2025-08-04,Very Behind Pace,8,6,2,8,18
00009,2024-08-05,On Pace,0,4,0,11,10
00009,2024-08-12,Ahead of Pace,7,6,0,0,24
00009,2024-08-19,Behind Pace,0,0,0,7,14
00009,2024-08-26,Very Ahead of Pace,3,2,0,12,11
00009,2024-09-02,Ahead of Pace,0,0,6,9,18
00009,2024-09-09,On Pace,1,5,2,18,5
00009,2024-09-16,On Pace,9,5,4,2,6
00009,2024-09-23,Behind Pace,5,1,1,9,11
00009,2024-09-30,Ahead of Pace,5,6,2,0,5
00009,2024-10-07,Very Behind Pace,6,2,2,6,11
00009,2024-10-14,Ahead of Pace,2,2,0,9,22
00009,2024-10-21,Very Behind Pace,6,3,1,9,15
00009,2024-10-28,Very Ahead of Pace,8,0,2,5,17
00009,2024-11-04,Ahead of Pace,6,4,0,7,20
00009,2024-11-11,On Pace,3,5,6,5,13
00009,2024-11-18,On Pace,9,4,0,0,17
00009,2024-11-25,On Pace,9,2,4,2,25
00009,2024-12-02,Ahead of Pace,10,0,4,12,14
00009,2024-12-09,On Pace,7,0,2,18,13
00009,2024-12-16,Very Behind Pace,6,4,3,6,10
00009,2024-12-23,On Pace,7,0,0,8,28
00009,2024-12-30,Very Behind Pace,10,5,0,8,15
00009,2025-01-06,Behind Pace,8,5,6,9,20
00009,2025-01-13,Behind Pace,13,3,3,0,14
00009,2025-01-20,On Pace,1,9,0,7,0
00009,2025-01-27,Ahead of Pace,8,12,3,8,1
00009,2025-02-03,Ahead of Pace,8,4,4,13,4
00009,2025-02-10,Behind Pace,6,4,3,15,16
00009,2025-02-17,Behind Pace,0,4,3,5,6
00009,2025-02-24,Behind Pace,11,7,4,12,11
00009,2025-03-03,Behind Pace,2,0,2,12,10
00009,2025-03-10,On Pace,0,4,0,9,11
00009,2025-03-17,Behind Pace,1,1,0,6,12
00009,2025-03-24,Very Ahead of Pace,11,3,1,0,26
00009,2025-03-31,Behind Pace,7,0,4,7,6
00009,2025-04-07,Behind Pace,6,5,6,9,14
00009,2025-04-14,Ahead of Pace,13,5,1,7,8
00009,2025-04-21,Very Behind Pace,3,1,0,6,13
00009,2025-04-28,Behind Pace,11,6,1,9,17
00009,2025-05-05,On Pace,7,0,0,4,9
00009,2025-05-12,On Pace,8,3,0,11,23
00009,2025-05-19,On Pace,1,6,3,0,12
00009,2025-05-26,Very Behind Pace,0,3,3,11,12
00009,2025-06-02,Behind Pace,8,4,2,7,16
00009,2025-06-09,On Pace,10,2,1,13,10
00009,2025-06-16,On Pace,1,1,0,2,21
00009,2025-06-23,Ahead of Pace,7,3,1,9,30
00009,2025-06-30,On Pace,7,7,2,5,24
00009,2025-07-07,Very Ahead of Pace,3,5,4,6,18
00009,2025-07-14,Ahead of Pace,2,6,0,7,1
00009,2025-07-21,Very Behind Pace,3,1,5,11,10
00009,2025-07-28,Behind Pace,7,0,0,10,16
00009,2025-08-04,On Pace,3,5,0,12,9
00010,2024-08-05,Very Ahead of Pace,3,0,1,14,15
00010,2024-08-12,Very Ahead of Pace,4,0,3,8,17
00010,2024-08-19,Behind Pace,6,7,2,6,8
00010,2024-08-26,Behind Pace,5,5,0,8,9
00010,2024-09-02,Ahead of Pace,5,0,2,15,16
00010,2024-09-09,Behind Pace,8,4,1,10,16
00010,2024-09-16,Behind Pace,8,1,4,5,24
00010,2024-09-23,On Pace,2,1,0,14,0
00010,2024-09-30,On Pace,3,5,2,12,14
00010,2024-10-07,Behind Pace,11,3,3,12,10
00010,2024-10-14,Very Behind Pace,7,2,1,25,21
00010,2024-10-21,Very Behind Pace,1,8,0,11,8
00010,2024-10-28,On Pace,3,1,0,9,5
00010,2024-11-04,Ahead of Pace,5,4,3,13,10
00010,2024-11-11,Ahead of Pace,7,3,1,2,10
00010,2024-11-18,Behind Pace,8,5,0,12,20
00010,2024-11-25,On Pace,4,1,2,12,29
00010,2024-12-02,Very Ahead of Pace,4,4,0,14,16
00010,2024-12-09,Behind Pace,3,6,0,7,7
00010,2024-12-16,Very Behind Pace,11,4,0,8,12
00010,2024-12-23,Ahead of Pace,8,2,0,6,12
00010,2024-12-30,Very Behind Pace,0,3,2,12,17
00010,2025-01-06,On Pace,7,0,4,11,21
00010,2025-01-13,On Pace,7,0,1,9,2
00010,2025-01-20,On Pace,4,0,1,2,19
00010,2025-01-27,Ahead of Pace,5,6,6,15,15
